qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,ara-Arab-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:16:422:3:25141,25141,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25141,Ouata Sillam,وطى سلام,LB25141,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25146,25146,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25146,Kfar Yassine,كفر ياسين,LB25146,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25151,25151,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25151,Tabarja,طبرجا,LB25151,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25156,25156,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25156,Adma Oua Dafine,أدما والدفنه,LB25156,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25161,25161,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25161,Safra Kesrouane,صفرا كسروان,LB25161,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25166,25166,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25166,Bouar,بوار,LB25166,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25171,25171,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25171,Aaqaibeh Kesrouane,عقيبة,LB25171,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25176,25176,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25176,Bqaq Ed-Dine,بقاق الدين,LB25176,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25181,25181,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25181,Kharayeb Nahr Ibrahim,زاير,LB25181,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25211,25211,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25211,Aajaltoun,عجلتون,LB25211,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25221,25221,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25221,Balloune,بلونة,LB25221,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25231,25231,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25231,Shayleh Kesrouane,سهيلة,LB25231,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25241,25241,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25241,Daraiya Kesrouane,داريا كسروان,LB25241,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25251,25251,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25251,Aain Er-Rihane,عين الريحان,LB25251,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25261,25261,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25261,Jaaita,جعيتا,LB25261,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25271,25271,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25271,Aintoura Kesrouane,عينطورة,LB25271,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25281,25281,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25281,Mazraat Er-Ras,مزرعة الراس,LB25281,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25311,25311,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25311,Ghazir,غزير,LB25311,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25313,25313,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25313,Bourj El-Ftouh,فتقا,LB25313,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25315,25315,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25315,Chnanaair,شننعير,LB25315,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25317,25317,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25317,Jdaidet Ghazir,جديدة غزير,LB25317,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25319,25319,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25319,Ghosta,غوسطا,LB25319,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25321,25321,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25321,Maarab,معراب,LB25321,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25323,25323,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25323,Dlebta,دلبتا,LB25323,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25325,25325,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25325,Batha,بطحا,LB25325,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25327,25327,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25327,Aaramoun Kesrouane,عرمون كسروان,LB25327,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25329,25329,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25329,Kfour Kesrouane,الكفور,LB25329,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25331,25331,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25331,Ghidras,غدراس,LB25331,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25333,25333,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25333,Harharaya,هرهريا,LB25333,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25335,25335,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25335,Deir Baqlouch,دير بقلوش,LB25335,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25337,25337,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25337,Bzoummar,بزمار,LB25337,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25339,25339,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25339,Harissa Kesrouane,حريصا,LB25339,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25341,25341,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25341,Nammoura Kesrouane,نمورة,LB25341,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25343,25343,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25343,Ghineh,غينة,LB25343,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25345,25345,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25345,Hsayn,حصين,LB25345,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25347,25347,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25347,Daraaoun,درعون,LB25347,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25349,25349,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25349,Hayata,حياطة,LB25349,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25351,25351,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25351,Chahtoul,شحتول,LB25351,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25353,25353,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25353,Zaaitreh,زعيتره,LB25353,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25355,25355,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25355,Jouret E-Tourmos,جورة الترمس,LB25355,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25357,25357,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25357,Maaysra Kesrouane,المعيصرة,LB25357,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25359,25359,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25359,Jouret Mhad,جورة مهاد,LB25359,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25361,25361,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25361,Aazra ouel Aazr,عذره والعذر,LB25361,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25363,25363,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25363,Ghbaleh Kesrouane,غبالة ,LB25363,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25365,25365,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25365,Jouret Bedrane,جورة بدران,LB25365,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25367,25367,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25367,Mradiyeh,مرادية,LB25367,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25369,25369,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25369,Bizhel,بزحل,LB25369,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25371,25371,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25371,Nahr Ed-Dahab,نهر الدهب,LB25371,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25373,25373,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25373,Yahchouch,يحشوش,LB25373,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25375,25375,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25375,Zaitoun,زيتون,LB25375,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25391,25391,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25391,Ighbeh,إغبة,LB25391,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25411,25411,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25411,Rayfoun,ريفون,LB25411,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25415,25415,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25415,Qleiaat Kesrouane,قليعات كسروان,LB25415,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25419,25419,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25419,Mazraat Mrah El-Mir,مراح المير,LB25419,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25423,25423,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25423,Aachqout,عشقوت,LB25423,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25427,25427,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25427,Faytroun,فيطرون,LB25427,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25431,25431,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25431,Beqaata Aachqout,بقعاتة عشقوت,LB25431,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25435,25435,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25435,Raachine,رعشين,LB25435,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25439,25439,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25439,Kfar Dibiane,كفر دبيان,LB25439,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25443,25443,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25443,Beqaata Kanaan,بقعاتة كنعان,LB25443,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25447,25447,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25447,Kfar Tay Kesrouane,دير زرعيا,LB25447,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25451,25451,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25451,Bqaatouta,بقعتوتا,LB25451,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25455,25455,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25455,Ouata El-Jaouz,وطى الجوز,LB25455,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25459,25459,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25459,Mayrouba,ميروبا,LB25459,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25463,25463,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25463,Aain Ed-Delbeh Kesrouane,عين الدلبة,LB25463,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25467,25467,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25467,Mghayer,المغاير,LB25467,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25471,25471,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25471,Hrajel,حراجل,LB25471,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25475,25475,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25475,Faraya,فاريا,LB25475,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25479,25479,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25479,Chouane,شوان,LB25479,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25482,25482,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25482,Mchaa Kfar Dibiane,مشاع كفر ذبيان,LB25482,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25485,25485,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25485,Mchaa Faraya,مشاع فاريا,LB25485,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25488,25488,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25488,Mchaa El Ftouh,مشاع الفتوح,LB25488,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26001,26001,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26001,Litige,,LB26001,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26002,26002,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26002,Litige,,LB26002,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26003,26003,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26003,Litige,,LB26003,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26004,26004,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26004,Litige,,LB26004,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26005,26005,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26005,Litige,,LB26005,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26006,26006,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26006,Litige,,LB26006,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26007,26007,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26007,Litige,,LB26007,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26008,26008,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:26008,Litige,,LB26008,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26009,26009,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26009,Litige,,LB26009,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26111,26111,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26111,Jbayl,جبيل,LB26111,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26117,26117,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26117,Mastita,مستيتا,LB26117,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26123,26123,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26123,Qartaboun,قرطبون,LB26123,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26129,26129,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26129,Blat Jbeil,بلاط,LB26129,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26135,26135,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26135,Eddeh Jbayl,إده,LB26135,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26141,26141,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26141,Aamchit,عمشيت,LB26141,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26147,26147,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26147,Halate,حالات,LB26147,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26153,26153,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26153,Hasrayel,حصرايل,LB26153,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26159,26159,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26159,Rihanet Jbayl,ريحانة,LB26159,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26165,26165,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26165,Jeoddayel Jbayl,جدايل,LB26165,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26171,26171,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26171,Nahr Ibrahim,نهر ابراهيم,LB26171,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26177,26177,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26177,Mounsef,المنصف,LB26177,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
