qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,ara-Arab-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:16:422:3:21211,21211,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21211,Baabda,بعبدا,LB21211,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21219,21219,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21219,Hadath Beyrouth,حدث,LB21219,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21227,21227,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21227,Boutchay,بطشيه,LB21227,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21235,21235,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21235,Merdache,مرداشة,LB21235,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21243,21243,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21243,Louayzeh Baabda,لويزة,LB21243,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21251,21251,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21251,Kfar Chima,كفرشيما,LB21251,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21259,21259,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21259,Ouadi Chahrour Es-Soufla,وادي شحرور السفلى,LB21259,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21267,21267,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21267,Ouadi Chahrour El Aaoulia,وادي شحرور العليا,LB21267,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21275,21275,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21275,Haret Es-Sit,حارة الست,LB21275,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21283,21283,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21283,Bsaba Baabda,بسابا وادي الدلب,LB21283,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
