#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:16:422:3:21133,21133,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21133,Furn Ech-Chebbak,فرن الشباك,LB21133,Furn Ech-Chebbak,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21144,21144,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21144,Haret Hreik,حارة حريك,LB21144,Haret Hreik,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21166,21166,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21166,Laylakeh,ليلكي,LB21166,Laylakeh,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21177,21177,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21177,Bourj El-Brajneh,برج البراجنة,LB21177,Bourj El-Brajneh,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21188,21188,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21188,Tahouitat El Ghadir,تحويطة الغدير,LB21188,Tahouitat El Ghadir,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21211,21211,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21211,Baabda,بعبدا,LB21211,Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21219,21219,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21219,Hadath Beyrouth,حدث,LB21219,Hadath Beyrouth,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21227,21227,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21227,Boutchay,بطشيه,LB21227,Boutchay,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21235,21235,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21235,Merdache,مرداشة,LB21235,Merdache,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21243,21243,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21243,Louayzeh Baabda,لويزة,LB21243,Louayzeh Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21251,21251,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21251,Kfar Chima,كفرشيما,LB21251,Kfar Chima,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21259,21259,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21259,Ouadi Chahrour Es-Soufla,وادي شحرور السفلى,LB21259,Ouadi Chahrour Es-Soufla,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21267,21267,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21267,Ouadi Chahrour El Aaoulia,وادي شحرور العليا,LB21267,Ouadi Chahrour El Aaoulia,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21275,21275,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21275,Haret Es-Sit,حارة الست,LB21275,Haret Es-Sit,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21283,21283,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21283,Bsaba Baabda,بسابا وادي الدلب,LB21283,Bsaba Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21311,21311,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21311,Baalchmay,بعلشميه,LB21311,Baalchmay,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21314,21314,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21314,Aain Mouaffaq,عين موفق,LB21314,Aain Mouaffaq,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21317,21317,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21317,Rouayssrt El-Ballout,رويسة البلوط,LB21317,Rouayssrt El-Ballout,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21321,21321,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21321,Mzairaa Baabda,مزيرعة بعبدا,LB21321,Mzairaa Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21324,21324,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21324,Hlaliyeh Baabda,هلالية,LB21324,Hlaliyeh Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21327,21327,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21327,Haret Hamzeh,حارة حمزة,LB21327,Haret Hamzeh,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21331,21331,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21331,Qtaleh Baabda,قتالة,LB21331,Qtaleh Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21334,21334,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21334,Ras El-Href,راس الحرف,LB21334,Ras El-Href,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
