#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:16:422:3:25333,25333,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25333,Harharaya,هرهريا,LB25333,Harharaya,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25335,25335,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25335,Deir Baqlouch,دير بقلوش,LB25335,Deir Baqlouch,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25337,25337,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25337,Bzoummar,بزمار,LB25337,Bzoummar,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25339,25339,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25339,Harissa Kesrouane,حريصا,LB25339,Harissa Kesrouane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25341,25341,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25341,Nammoura Kesrouane,نمورة,LB25341,Nammoura Kesrouane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25343,25343,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25343,Ghineh,غينة,LB25343,Ghineh,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25345,25345,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25345,Hsayn,حصين,LB25345,Hsayn,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25347,25347,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25347,Daraaoun,درعون,LB25347,Daraaoun,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25349,25349,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25349,Hayata,حياطة,LB25349,Hayata,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25351,25351,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25351,Chahtoul,شحتول,LB25351,Chahtoul,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25353,25353,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25353,Zaaitreh,زعيتره,LB25353,Zaaitreh,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25355,25355,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25355,Jouret E-Tourmos,جورة الترمس,LB25355,Jouret E-Tourmos,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25357,25357,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25357,Maaysra Kesrouane,المعيصرة,LB25357,Maaysra Kesrouane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25359,25359,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25359,Jouret Mhad,جورة مهاد,LB25359,Jouret Mhad,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25361,25361,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25361,Aazra ouel Aazr,عذره والعذر,LB25361,Aazra ouel Aazr,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25363,25363,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25363,Ghbaleh Kesrouane,غبالة ,LB25363,Ghbaleh Kesrouane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25365,25365,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25365,Jouret Bedrane,جورة بدران,LB25365,Jouret Bedrane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25367,25367,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25367,Mradiyeh,مرادية,LB25367,Mradiyeh,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25369,25369,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25369,Bizhel,بزحل,LB25369,Bizhel,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25371,25371,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25371,Nahr Ed-Dahab,نهر الدهب,LB25371,Nahr Ed-Dahab,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25373,25373,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25373,Yahchouch,يحشوش,LB25373,Yahchouch,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25375,25375,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25375,Zaitoun,زيتون,LB25375,Zaitoun,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25391,25391,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25391,Ighbeh,إغبة,LB25391,Ighbeh,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25411,25411,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25411,Rayfoun,ريفون,LB25411,Rayfoun,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25415,25415,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25415,Qleiaat Kesrouane,قليعات كسروان,LB25415,Qleiaat Kesrouane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25419,25419,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25419,Mazraat Mrah El-Mir,مراح المير,LB25419,Mazraat Mrah El-Mir,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25423,25423,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25423,Aachqout,عشقوت,LB25423,Aachqout,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25427,25427,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25427,Faytroun,فيطرون,LB25427,Faytroun,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25431,25431,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25431,Beqaata Aachqout,بقعاتة عشقوت,LB25431,Beqaata Aachqout,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25435,25435,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25435,Raachine,رعشين,LB25435,Raachine,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25439,25439,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25439,Kfar Dibiane,كفر دبيان,LB25439,Kfar Dibiane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25443,25443,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25443,Beqaata Kanaan,بقعاتة كنعان,LB25443,Beqaata Kanaan,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25447,25447,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25447,Kfar Tay Kesrouane,دير زرعيا,LB25447,Kfar Tay Kesrouane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25451,25451,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25451,Bqaatouta,بقعتوتا,LB25451,Bqaatouta,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25455,25455,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25455,Ouata El-Jaouz,وطى الجوز,LB25455,Ouata El-Jaouz,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25459,25459,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25459,Mayrouba,ميروبا,LB25459,Mayrouba,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25463,25463,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25463,Aain Ed-Delbeh Kesrouane,عين الدلبة,LB25463,Aain Ed-Delbeh Kesrouane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25467,25467,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25467,Mghayer,المغاير,LB25467,Mghayer,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25471,25471,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25471,Hrajel,حراجل,LB25471,Hrajel,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25475,25475,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25475,Faraya,فاريا,LB25475,Faraya,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25479,25479,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25479,Chouane,شوان,LB25479,Chouane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25482,25482,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25482,Mchaa Kfar Dibiane,مشاع كفر ذبيان,LB25482,Mchaa Kfar Dibiane,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25485,25485,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25485,Mchaa Faraya,مشاع فاريا,LB25485,Mchaa Faraya,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:25488,25488,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:25488,Mchaa El Ftouh,مشاع الفتوح,LB25488,Mchaa El Ftouh,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26001,26001,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26001,Litige,,LB26001,Litige,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26002,26002,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26002,Litige,,LB26002,Litige,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26003,26003,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26003,Litige,,LB26003,Litige,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26004,26004,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26004,Litige,,LB26004,Litige,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26005,26005,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26005,Litige,,LB26005,Litige,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26006,26006,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26006,Litige,,LB26006,Litige,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26007,26007,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26007,Litige,,LB26007,Litige,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26008,26008,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,1603:16:422:3:26008,Litige,,LB26008,Litige,,,,,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26009,26009,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26009,Litige,,LB26009,Litige,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26111,26111,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26111,Jbayl,جبيل,LB26111,Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26117,26117,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26117,Mastita,مستيتا,LB26117,Mastita,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26123,26123,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26123,Qartaboun,قرطبون,LB26123,Qartaboun,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26129,26129,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26129,Blat Jbeil,بلاط,LB26129,Blat Jbeil,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26135,26135,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26135,Eddeh Jbayl,إده,LB26135,Eddeh Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26141,26141,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26141,Aamchit,عمشيت,LB26141,Aamchit,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26147,26147,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26147,Halate,حالات,LB26147,Halate,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26153,26153,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26153,Hasrayel,حصرايل,LB26153,Hasrayel,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26159,26159,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26159,Rihanet Jbayl,ريحانة,LB26159,Rihanet Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26165,26165,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26165,Jeoddayel Jbayl,جدايل,LB26165,Jeoddayel Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26171,26171,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26171,Nahr Ibrahim,نهر ابراهيم,LB26171,Nahr Ibrahim,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26177,26177,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26177,Mounsef,المنصف,LB26177,Mounsef,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26183,26183,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26183,Berbara Jbayl,بربارة,LB26183,Berbara Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26189,26189,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26189,Kfar Kiddeh,كفر كده,LB26189,Kfar Kiddeh,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26211,26211,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26211,Ehmej,اهمج,LB26211,Ehmej,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26212,26212,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26212,Aalmat Ech-Chamliyeh,علمات الشمالية,LB26212,Aalmat Ech-Chamliyeh,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26213,26213,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26213,Mazraat El-Maaden,مزرعة المعادن,LB26213,Mazraat El-Maaden,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26214,26214,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26214,Aalmat Ej-Jnoubiyeh,حصنا,LB26214,Aalmat Ej-Jnoubiyeh,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26215,26215,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26215,Tourzaiya,طورزيا,LB26215,Tourzaiya,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26217,26217,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26217,Ferhet,فرحت,LB26217,Ferhet,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26218,26218,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26218,Michmich Jbayl,مشمش جبيل,LB26218,Michmich Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26219,26219,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26219,Aalita,عاليتا,LB26219,Aalita,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26220,26220,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26220,Souanet Jbayl,صوانة ,LB26220,Souanet Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26221,26221,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26221,Aain Ed-Delbeh Jbayl,عين الدلبة جبيل,LB26221,Aain Ed-Delbeh Jbayl,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26223,26223,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26223,Frat,فرات,LB26223,Frat,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26224,26224,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26224,Kfar Baal,كفر بعال,LB26224,Kfar Baal,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26226,26226,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26226,Hjoula,حجولا,LB26226,Hjoula,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26227,26227,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26227,Aain Jrain,عين جرين,LB26227,Aain Jrain,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:26229,26229,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,1603:16:422:3:26229,Hsoun,حصون,LB26229,Hsoun,,,,,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
